timestamp, 1: Main Valve, 2: Secondary Valve
2026-01-01T13:53:48.599091, OPEN, CLOSED
2026-01-01T13:53:51.908101, OPEN, CLOSED
2026-01-01T13:53:53.607732, OPEN, CLOSED
2026-01-01T13:53:55.004281, OPEN, OPEN
2026-01-01T13:57:39.256340, CLOSED, OPEN
2026-01-01T13:57:40.466691, CLOSED, OPEN
2026-01-01T13:57:41.476532, OPEN, OPEN
2026-01-01T13:57:42.562735, OPEN, OPEN
2026-01-01T13:57:44.203305, CLOSED, OPEN
2026-01-01T13:57:44.433831, OPEN, OPEN
2026-01-01T13:57:45.987315, OPEN, OPEN
2026-01-01T13:57:47.276183, OPEN, OPEN
2026-01-01T13:57:48.546165, OPEN, OPEN
2026-01-01T14:02:30.922337, CLOSED, OPEN
2026-01-01T14:05:04.631314, CLOSED, OPEN
2026-01-01T14:05:06.159090, OPEN, OPEN
2026-01-01T14:05:09.263900, CLOSED, OPEN
2026-01-01T14:05:11.020602, CLOSED, CLOSED
2026-01-01T14:05:12.617187, OPEN, CLOSED
2026-01-01T14:05:14.185270, CLOSED, CLOSED
2026-01-01T14:05:16.470486, OPEN, CLOSED
2026-01-01T14:05:17.643960, CLOSED, CLOSED
2026-01-01T14:05:19.121199, CLOSED, OPEN
2026-01-01T14:05:20.280289, CLOSED, CLOSED
2026-01-01T14:17:46.231239, CLOSED, OPEN
2026-01-01T14:17:50.110645, OPEN, OPEN
2026-01-01T14:17:52.413960, OPEN, CLOSED
2026-01-01T14:17:54.255556, CLOSED, CLOSED
2026-01-01T14:17:56.031060, CLOSED, OPEN
2026-01-01T14:18:51.099751, CLOSED, OPEN
2026-01-01T14:18:52.673541, OPEN, OPEN
2026-01-01T14:18:54.011472, CLOSED, OPEN
2026-01-01T14:18:55.298012, CLOSED, CLOSED
2026-01-01T14:18:56.633620, CLOSED, OPEN
2026-01-01T14:18:57.870555, OPEN, OPEN
2026-01-01T14:19:00.624931, CLOSED, OPEN
2026-01-01T14:19:02.557609, CLOSED, CLOSED
2026-01-01T14:19:05.645885, CLOSED, OPEN
2026-01-01T14:19:06.970425, OPEN, OPEN
2026-01-01T14:19:08.818769, OPEN, CLOSED
2026-01-01T14:19:10.456404, OPEN, OPEN
2026-01-01T14:19:11.593311, CLOSED, OPEN
2026-01-01T14:19:13.079869, CLOSED, CLOSED
2026-01-01T14:19:14.939775, CLOSED, OPEN
2026-01-01T14:19:16.306678, OPEN, OPEN
2026-01-01T14:19:17.864196, OPEN, CLOSED
2026-01-01T14:19:19.206557, OPEN, OPEN
2026-01-01T14:19:49.422198, CLOSED, OPEN
2026-01-01T14:19:50.566849, OPEN, OPEN
2026-01-01T14:19:51.818562, CLOSED, OPEN
2026-01-01T14:19:53.030937, CLOSED, CLOSED
2026-01-01T14:19:54.432651, CLOSED, OPEN
2026-01-01T14:19:56.082716, OPEN, OPEN
2026-01-01T14:19:57.674996, CLOSED, OPEN
2026-01-01T14:19:59.213204, CLOSED, CLOSED
2026-01-01T14:20:00.904276, CLOSED, OPEN
2026-01-01T14:20:02.265747, OPEN, OPEN
2026-01-01T14:20:03.882553, OPEN, CLOSED
2026-01-01T14:20:05.372308, CLOSED, CLOSED
2026-01-01T14:21:01.417158, OPEN, CLOSED
2026-01-01T14:21:02.813346, OPEN, OPEN
2026-01-01T14:21:04.155804, OPEN, CLOSED
2026-01-01T14:21:05.392184, CLOSED, CLOSED
2026-01-01T14:21:06.574714, OPEN, CLOSED
2026-01-01T14:21:07.565678, CLOSED, CLOSED
2026-01-01T14:21:08.930375, CLOSED, OPEN
2026-01-01T14:21:10.239949, CLOSED, CLOSED
2026-01-01T14:21:11.573716, OPEN, CLOSED
2026-01-01T14:21:12.786127, CLOSED, CLOSED
2026-01-01T14:23:17.011451, OPEN, CLOSED
2026-01-01T14:23:25.558567, OPEN, CLOSED
